#
# Major turnaround points. 
#
# Visually generated which means mostly the points that led to large rallies (so with hindsight). 
# Dates represent 'confirmation' days, usually 3-5 days after the low of the turnaround, usually when 
# the index breaks through a major average (50d, 200d).  
#
#

Date,review comments,Notes
2008-03-18,,"JPMorgan raises its Bear Stearns bid to $10 from $2 (Mar 24), after the Mar 16 Bear rescue and Mar 18 Fed 75bp cut; strong Feb existing-home sales"
2008-07-17,,"oil peaks and reverses (Jul 11-15), SEC emergency order curbing naked shorting of financials (Jul 15), Wells Fargo/JPMorgan earnings beats; bear-market rally, failed"
2008-12-02,,"Obama infrastructure stimulus plan announced Dec 6, Fed heading to zero (Dec 16); bear-market rally, failed at the Mar 2009 low"
2009-03-12,"3HH since on Day 3","Bank rally: Citi (Mar 10) and Bank of America (Mar 12) say they are profitable in Jan-Feb, House hearing on mark-to-market relief (Mar 12), GE downgrade milder than feared"
2009-07-15,"vol explosion",
2010-06-02,,
2010-07-13,,"Strong start to Q2 earnings (Alcoa Jul 12, Intel record quarter Jul 13); successful Greek bill auction eases euro-crisis fears"
2010-09-01,still in uptrend,Strong Aug ISM manufacturing (56.3) and China PMI; follows Bernanke's Aug 27 Jackson Hole QE2 hint
2011-06-29,vol explosion,"Greek parliament passes the austerity package on Jun 29, ending the second Greek-debt scare; rally failed in the Aug 2011 debt-ceiling/downgrade crash"
2011-08-23,,"Bernanke Jackson Hole speech: no QE3, but Sept FOMC extended to two days to consider options; intraday reversal higher"
2011-10-10,still in uptrend,Merkel-Sarkozy pledge (Oct 9) to recapitalise European banks and present a comprehensive euro-crisis plan by end-Oct
2011-12-20,,"ECB 3-year LTRO (announced Dec 8, first allotment Dec 21), strong Spanish debt auction, German Ifo and US housing starts beat"
2012-06-15,feels early,"pro-bailout New Democracy wins the Jun 17 Greek election, FOMC extends Operation Twist on Jun 20"
2012-12-17,feels early,fiscal-cliff deal (American Taxpayer Relief Act) passed Jan 1; Nasdaq +3.1% on the day
2014-05-22,still in uptrend,"end of the spring 2014 momentum/biotech sell-off, dovish FOMC minutes on May 21; no single catalyst"
2014-10-21,,Strong Q3 earnings (Apple Oct 20) and report that the ECB is considering corporate-bond purchases; follows Bullard's Oct 16 call to delay ending QE
2015-09-08,,
2015-10-05,in uptrend,"Weak Sept jobs report (Oct 2, +142k) pushes Fed lift-off expectations into 2016; bad-news-is-good-news reversal"
2016-01-29,,"China/oil sell-off; Bank of Japan surprise negative-rate move on Jan 29; rally failed, Feb 11 retest low"
2016-02-17,,Saudi-Russia oil output freeze (Feb 16) lifts crude; Jan FOMC minutes (Feb 17) show the Fed leaning toward delaying hikes
2018-02-14,still in uptrend,Hot Jan CPI but market reverses higher intraday; end of the 'Volmageddon' XIV/vol-ETP blow-up sell-off
2018-11-07,,"Post-midterms, off the Oct 29 low; failed"
2018-11-28,,
2019-01-04,,"Powell 'patient' and 'listening to markets' remarks at the AEA panel, plus strong Dec jobs report (+312k); Fed pivot begins"
2019-06-07,,Fed pivot to cuts: Powell 'act as appropriate' (Jun 4) and Bullard/Clarida cut talk; hopes for a deal averting the Mexico tariffs
2020-04-02,,Covid
2020-11-04,,"Day after the US election, after the Sep-Oct correction"
2021-03-11,,
2022-01-31,,
2022-03-18,,Uncertainty removed by the Mar 16 FOMC first 25bp hike with a strong-economy message; Russia-Ukraine ceasefire hopes; quad witching
2022-05-26,,"May 25 FOMC minutes rule out hikes larger than 50bp; retail earnings relief (Macy's, Dollar Tree) after the Target/Walmart scare"
2022-06-24,,"Michigan survey long-run inflation expectations revised down (3.1%), a week after the Jun 15 75bp hike; peak-inflation hopes"
2022-10-21,,WSJ (Timiraos) report that Fed officials will debate slowing hikes in Dec; SF Fed's Daly talks of stepping down the pace
2022-11-10,still in uptrend,"cooler October CPI (7.7% vs 7.9% expected); Nasdaq +7.4%, best day since 2020"
2023-01-11,,Dec jobs report shows slowing wage growth (AHE +0.3% m/m) and Dec ISM services drops to 49.6; peak-Fed hopes
2023-03-17,,
2023-08-29,,
2023-10-06,,
2023-11-02,,Nasdaq and S&P 500 possibly called on different days (Nov 1 / Nov 2)
2024-08-13,,"Cool July PPI (+0.1%), ahead of cool CPI on Aug 14; recovery from the Aug 5 yen carry-trade unwind crash"
2025-04-22,,Bessent says the US-China tariff standoff is 'unsustainable' and expects de-escalation; Trump says he has no intention of firing Powell; after the Apr 9 90-day tariff pause
2026-04-08,,US Iran war peace agreement
2026-08-03,,
